UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Apr19 ?        00:00:04 /sbin/init
root           2       0  0 Apr19 ?        00:00:00 [kthreadd]
root           9       2  0 Apr19 ?        00:00:02 [ksoftirqd/0]
root         380       1  0 Apr19 ?        00:00:01 /lib/systemd/systemd-journald
root         410       1  0 Apr19 ?        00:00:00 /lib/systemd/systemd-udevd
systemd+     540       1  0 Apr19 ?        00:00:03 /lib/systemd/systemd-resolved
message+     600       1  0 Apr19 ?        00:00:05 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root         612       1  0 Apr19 ?        00:00:01 /usr/sbin/cron -f
root         640       1  0 Apr19 ?        00:00:02 /usr/sbin/rsyslogd -n -iNONE
root         712       1  0 Apr19 ?        00:00:00 /usr/sbin/sshd -D
root         980       1  0 Apr19 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
postgres    1450       1  0 Apr19 ?        00:00:12 /usr/lib/postgresql/14/bin/postgres -D /var/lib/postgresql/14/main
www-data    1820    1230  0 09:14 ?        00:00:01 /usr/sbin/apache2 -k start
deploy      3120     712  0 10:01 pts/0    00:00:00 -bash
deploy      4521    3120 98 10:32 pts/0    00:12:44 /tmp/.x/kdevtmpfsi
