UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Apr19 ?        00:00:04 /sbin/init
root           2       0  0 Apr19 ?        00:00:00 [kthreadd]
root           9       2  0 Apr19 ?        00:00:02 [ksoftirqd/0]
root         380       1  0 Apr19 ?        00:00:01 /lib/systemd/systemd-journald
root         410       1  0 Apr19 ?        00:00:00 /lib/systemd/systemd-udevd
systemd+     540       1  0 Apr19 ?        00:00:03 /lib/systemd/systemd-resolved
message+     600       1  0 Apr19 ?        00:00:05 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root         612       1  0 Apr19 ?        00:00:01 /usr/sbin/cron -f
root         640       1  0 Apr19 ?        00:00:02 /usr/sbin/rsyslogd -n -iNONE
root         712       1  0 Apr19 ?        00:00:00 /usr/sbin/sshd -D
root         980       1  0 Apr19 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
root        1300       1  0 Apr19 ?        00:00:30 /usr/bin/containerd
root        1700       1  0 Apr19 ?        00:00:45 /usr/bin/dockerd -H fd://
svcops      2100       1  0 Apr19 ?        00:00:14 /usr/bin/node /srv/api/index.js
svcops      2890     712  0 08:20 pts/1    00:00:00 -bash
svcops      6340    2100  0 14:05 ?        00:00:01 bash -i
